"seed","N","n_eff","strategy","Pr","Re","MCC","CoefL2","JacRMSE"
16,40,40,"random",1,0.375,0.547722557505166,3.51591895138146,0.24669502601314
16,60,60,"random",1,0.6875,0.781735959970572,3.41165644683442,0.17518156492703
16,12,12,"maximin",0,0,-0.0852802865422442,7.29743733814621,0.297692922404596
16,16,16,"maximin",0.5,0.1875,0.16431676725155,5.83172696542114,0.326910207498497
16,20,20,"maximin",0.375,0.1875,0.0806871530459878,6.05118532822481,0.333591567617709
16,30,30,"maximin",0.5,0.3125,0.221162934232346,5.81255248195368,0.305586480486742
16,40,40,"maximin",0.9,0.5625,0.634000411466058,4.63593805414776,0.19320137260448
16,60,60,"maximin",0.785714285714286,0.6875,0.639009650422694,4.73603113483107,0.179088926790714
16,12,12,"dopt",0.5,0.0625,0.0912870929175277,3.6898320943245,0.2742462763344
16,16,16,"dopt",1,0.125,0.304290309725092,3.72389996794284,0.257650549016484
16,20,20,"dopt",0.75,0.375,0.419573195839137,4.92438834012894,0.232468576888729
16,30,30,"dopt",0.857142857142857,0.375,0.478091443733757,4.49053997011993,0.193082212820224
16,40,40,"dopt",0.75,0.375,0.419573195839137,4.1123433966608,0.185353928516198
16,60,60,"dopt",0.888888888888889,0.5,0.58426976508496,3.63141316028077,0.163851542216059
17,12,12,"random",0.5,0.125,0.131558702896054,8.74634005016499,0.366667603230523
17,16,16,"random",0.6,0.1875,0.217832459454868,4.75452139238443,0.340075403790472
17,20,20,"random",0.8,0.25,0.356453115471603,5.44614765872946,0.300695282508818
17,30,30,"random",0.875,0.4375,0.53253521010352,4.56384531883135,0.242351175306979
17,40,40,"random",0.888888888888889,0.5,0.58426976508496,4.46832783278564,0.233683847213627
17,60,60,"random",0.846153846153846,0.6875,0.682125479619647,4.09013320856377,0.225489174555726
17,12,12,"maximin",0.666666666666667,0.125,0.200627945030208,6.10502714545453,0.293907194985177
17,16,16,"maximin",1,0.1875,0.376177396931639,6.0040860367136,0.32511322430636
17,20,20,"maximin",0.75,0.1875,0.285043856274785,5.8323188443284,0.296550838899867
17,30,30,"maximin",0.9,0.5625,0.634000411466058,4.88687817236513,0.236846528898034
17,40,40,"maximin",0.846153846153846,0.6875,0.682125479619647,3.91544490085686,0.206732944455503
17,60,60,"maximin",0.75,0.75,0.65,4.39504739070998,0.204321839342629
17,12,12,"dopt",0.666666666666667,0.125,0.200627945030208,4.45343711017389,0.305752771364387
17,16,16,"dopt",0.4,0.125,0.0792118034381339,4.75359880241919,0.30957762861229
17,20,20,"dopt",0.666666666666667,0.25,0.292118697336089,6.35965208734984,0.327591238191851
17,30,30,"dopt",1,0.4375,0.597614304667197,3.45026850123187,0.218851433567366
17,40,40,"dopt",1,0.5625,0.691898406021664,3.75972632549265,0.186956317097679
17,60,60,"dopt",1,0.8125,0.869375611279942,3.06049207940788,0.101560133758109
18,12,12,"random",0.375,0.1875,0.0806871530459878,10.3356270502416,0.460677695566523
18,16,16,"random",0.5,0.25,0.193649167310371,9.15872575650277,0.447882417743729
18,20,20,"random",0.5,0.125,0.131558702896054,5.96963054223231,0.284124598528415
18,30,30,"random",0.75,0.1875,0.285043856274785,4.74614098355233,0.27349057528666
18,40,40,"random",0.875,0.4375,0.53253521010352,3.90012627384688,0.215449923968462
18,60,60,"random",0.888888888888889,0.5,0.58426976508496,3.57892098438481,0.202741649459163
18,12,10,"maximin",0.6,0.1875,0.217832459454868,6.13094941976026,0.309716346679242
18,16,14,"maximin",0.8,0.25,0.356453115471603,4.82002916468487,0.249310477784689
18,20,18,"maximin",1,0.1875,0.376177396931639,3.54084452741504,0.251060800875878
18,30,28,"maximin",0.833333333333333,0.3125,0.419920627420627,3.99779634380708,0.257304422261426
18,40,38,"maximin",1,0.5,0.645497224367903,3.46331551204324,0.146980170751476
18,60,57,"maximin",0.9,0.5625,0.634000411466058,3.43510155908667,0.121771781416542
