"seed","N","n_eff","strategy","Pr","Re","MCC","CoefL2","JacRMSE"
11,20,15,"maximin",0.8,0.25,0.356453115471603,5.82406476490338,0.313847314042611
11,30,24,"maximin",0.666666666666667,0.25,0.292118697336089,3.46129859839089,0.269974816890641
11,40,33,"maximin",0.666666666666667,0.25,0.292118697336089,3.88950488489592,0.229587602870167
11,60,50,"maximin",0.8,0.5,0.53079104215763,3.66093761992263,0.158529127246736
11,12,8,"dopt",0.4,0.125,0.0792118034381339,9.5384014233782,0.407397020577906
11,16,12,"dopt",1,0.1875,0.376177396931639,7.03652336784184,0.260020219033825
11,20,16,"dopt",0.5,0.125,0.131558702896054,5.78345965853887,0.365852727189158
11,30,24,"dopt",0.727272727272727,0.5,0.483254957072717,5.96091302633081,0.245057603854366
11,40,30,"dopt",0.818181818181818,0.5625,0.582748624705335,4.95328443793941,0.198140519169317
11,60,47,"dopt",1,0.5625,0.691898406021664,3.96817483566082,0.128449667055427
12,12,12,"random",0.571428571428571,0.25,0.239045721866879,8.69318943445936,0.402047014773588
12,16,16,"random",0.75,0.1875,0.285043856274785,8.88823917212475,0.339679274774101
12,20,20,"random",1,0.0625,0.21320071635561,5.75435918934098,0.275916902318381
12,30,30,"random",1,0.3125,0.495073771488337,6.94454457242563,0.20067483302215
12,40,40,"random",0.75,0.375,0.419573195839137,4.62234246246185,0.185196954195055
12,60,60,"random",0.888888888888889,0.5,0.58426976508496,3.98143796425383,0.141569168980205
12,12,12,"maximin",0,0,0,4.57600564732718,0.274564867786298
12,16,16,"maximin",0.666666666666667,0.125,0.200627945030208,4.85809115589967,0.351586100754125
12,20,20,"maximin",0.714285714285714,0.3125,0.358568582800318,4.9089721513002,0.261247116001201
12,30,30,"maximin",0.857142857142857,0.375,0.478091443733757,4.80941768015206,0.200401183905445
12,40,40,"maximin",1,0.4375,0.597614304667197,3.52049483775379,0.159599970629011
12,60,60,"maximin",0.727272727272727,0.5,0.483254957072717,3.95221711203799,0.161390052356135
12,12,12,"dopt",0.5,0.1875,0.16431676725155,7.46636618853029,0.593336413062058
12,16,16,"dopt",1,0.125,0.304290309725092,3.53573901300262,0.24404939256992
12,20,20,"dopt",1,0.1875,0.376177396931639,3.82488658231565,0.235901051702359
12,30,30,"dopt",0.666666666666667,0.375,0.369012483211554,4.66277843919657,0.165345317746313
12,40,40,"dopt",1,0.375,0.547722557505166,3.77609824264867,0.140977262903957
12,60,60,"dopt",1,0.375,0.547722557505166,3.65615395692415,0.149957112084542
13,12,12,"random",0.4,0.125,0.0792118034381339,8.52411013360657,0.608121901535503
13,16,16,"random",0.166666666666667,0.0625,-0.0912870929175277,6.00919022452157,0.533557425746226
13,20,20,"random",0,0,-0.219089023002066,6.48223687494199,0.508522291739602
13,30,30,"random",0.666666666666667,0.25,0.292118697336089,5.65565856960279,0.337590057076434
13,40,40,"random",0.555555555555556,0.3125,0.261383842274851,5.12572115865601,0.342551599086961
13,60,60,"random",0.777777777777778,0.4375,0.476641124148257,4.4939553156068,0.252781596460721
